,timestamp,desired_vel,quat_1,quat_2,quat_3,quat_4,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,velcmd_x,velcmd_y,velcmd_z,ct_cmd,br_cmd_x,br_cmd_y,br_cmd_z,is_collide
237,1752409062.644,5.0,0.99932,-0.03678498,-0.0003837571,0.0025211237,42.121796,-1.4471755,3.220349,4.8190002,1.6268673,0.34581983,4.55681,2.0076327,-0.45265183,8.923997472148466,-3.442767629162217,-1.0556203481234507,-0.06740163923579721,False
238,1752409062.694,5.0,0.9972514,-0.07266094,-0.014276482,0.002501682,42.266304,-1.3977699,3.2325907,4.813347,1.6697229,0.45244542,4.5363207,1.9853442,-0.692969,8.154097749345679,-3.04620493853519,-0.9186520511949361,-0.07554552206442187,False
239,1752409062.734,5.0,0.99066585,-0.13183223,-0.034606904,0.0019627179,42.45849,-1.3294607,3.2511334,4.7942,1.749238,0.45218626,4.7160163,1.5827931,-0.50394124,6.616625259074804,-2.5873464058735647,-0.9093106872980214,-0.11031212606848803,False
240,1752409062.774,5.0,0.9791851,-0.19531651,-0.055206615,0.0004960843,42.649734,-1.2575747,3.2674177,4.766753,1.8486676,0.35157633,4.826732,1.2773675,-0.2664381,6.990097607744492,1.4080945977452966,0.507543171077399,-0.013326492141891374,False
241,1752409062.854,5.0,0.97356534,-0.22031058,-0.06026614,-0.0013256489,43.028194,-1.0995144,3.285263,4.691086,2.1177714,0.11205666,4.93459,0.8061161,0.0011067656,9.753763071562531,5.653486624213325,1.6527145454688874,0.003931721356834685,False
242,1752409062.924,5.0,0.9980598,-0.061390664,-0.010203202,-0.0019154883,43.35453,-0.9433775,3.2901933,4.642202,2.3149152,0.061403375,4.952428,0.6880492,-0.007045893,11.390801211743472,3.974635420466918,0.9382256922124947,-0.00974655694750515,False
243,1752409062.964,5.0,0.9957534,0.086597845,0.031090535,-0.0030498432,43.586758,-0.82734805,3.2944477,4.6544085,2.29946,0.11024912,4.9301844,0.81900775,-0.1500394,10.809198543201468,2.20253443683243,0.37462955818595145,-0.012206383823684556,False
244,1752409063.004,5.0,0.9827525,0.1771146,0.052989073,-0.0044800006,43.773598,-0.737407,3.299315,4.6900654,2.1864285,0.12471967,4.955321,0.6455896,-0.16736613,9.843340513450949,0.27183166849347,-0.18173240526079504,-0.0073267644765849845,False
245,1752409063.054,5.0,0.9724588,0.22474152,0.06147625,-0.0059901904,43.962086,-0.6530658,3.3038661,4.7350245,2.0254414,0.098343,4.991575,0.2901005,-0.0050843675,9.788380520127403,-0.8975889281935338,-0.45125936475245876,0.0041659133268555784,False
246,1752409063.094,5.0,0.97032017,0.23437275,0.059115343,-0.0073203496,44.152412,-0.57561713,3.307003,4.781248,1.8444542,0.06065647,4.9997897,0.032203894,-0.03262591,11.009479554351154,-0.6907866435484574,-0.4601674515175596,0.013155393120530687,False
247,1752409063.134,5.0,0.97368187,0.22209439,0.05045273,-0.008495303,44.34456,-0.505642,3.3090727,4.825289,1.6543561,0.046932872,4.9940367,-0.2387984,-0.050740495,11.13727575381636,0.046838472190229755,-0.3330099559180328,0.019207364664952455,False
248,1752409063.204,5.0,0.9785536,0.20300987,0.033283494,-0.010584816,44.684566,-0.40112218,3.312836,4.885223,1.3347703,0.06757811,4.992122,-0.27913865,0.028261906,11.24098761415731,1.047790187102978,-0.10563799005598391,0.027351402389931178,False
249,1752409063.254,5.0,0.97605824,0.21565396,0.0257656,-0.011825422,44.929604,-0.34006968,3.3168595,4.914759,1.1047748,0.09304788,4.9948473,-0.22259118,0.044123717,11.230330322363619,0.421111639859501,-0.02723787417204308,0.029658438342224074,False
250,1752409063.334,5.0,0.96901727,0.24569611,0.02221196,-0.0120656965,45.32427,-0.26767385,3.3252306,4.950482,0.69834,0.10820883,4.9971876,-0.16170456,0.04436648,10.847558438705818,-1.1455869272010915,-0.04581851714500827,0.03108123637419228,False
251,1752409063.374,5.0,0.9702407,0.24086973,0.02212121,-0.011197063,45.5723,-0.2393143,3.330438,4.9708247,0.43807262,0.09822918,4.996877,-0.17567974,-0.018819842,10.530398638457935,-1.561217551863816,-0.09589134769423922,0.03146813053057739,False
252,1752409063.444,5.0,0.9796565,0.19936723,0.020851614,-0.00953935,45.921238,-0.22025892,3.3364687,4.9983683,0.1200093,0.070019,4.9952188,-0.19380441,-0.101140425,9.647825123533126,-1.1623085147691758,-0.1323713560519084,0.030919623781265303,False
253,1752409063.484,5.0,0.98528224,0.1696495,0.019035667,-0.008693423,46.12146,-0.21840972,3.3387759,5.0125575,-0.023182236,0.045147397,4.9959455,-0.18777975,-0.07258438,9.744618557623788,-1.0095455950751568,-0.14690497949516276,0.030643103607668115,False
254,1752409063.534,5.0,0.9895274,0.14316574,0.016581595,-0.008011151,46.322224,-0.22180334,3.3401117,5.0252614,-0.14318143,0.02272189,4.9991317,-0.078889534,-0.049590062,9.738863189351429,-0.8271036327742997,-0.14420146577707774,0.029863082381899997,False
255,1752409063.614,5.0,0.9947561,0.10145552,0.010886823,-0.0069699422,46.72509,-0.24121857,3.3407035,5.0451546,-0.3321414,-0.0036244257,4.9993525,0.07845159,0.017822837,9.920312232375558,-1.3554433531152366,-0.11163301325334263,0.026392572490724384,False
256,1752409063.654,5.0,0.9968506,0.078606695,0.008252943,-0.006460991,46.927044,-0.25598723,3.3404768,5.0522003,-0.40347096,-0.0062700384,4.998223,0.12889327,0.03396172,10.112602890112885,-1.3577670922066225,-0.09570597775152787,0.02488434994237382,False
257,1752409063.694,5.0,0.99861205,0.05199248,0.005974954,-0.005921743,47.129246,-0.27324674,3.3403225,5.057552,-0.45606366,-0.00014764203,4.99626,0.18787698,0.045731567,10.17683317780232,-1.2408995193451495,-0.08185005424231147,0.02310343677961067,False
258,1752409063.764,5.0,0.99998015,0.002624901,0.0028207246,-0.004985992,47.483505,-0.30693126,3.341082,5.0634756,-0.49466717,0.023517245,4.989309,0.3266015,0.01140536,10.150430769520547,-1.0518100359423792,-0.07847252074967807,0.019267255201614958,False
259,1752409063.854,5.0,0.9986598,-0.051599946,-0.0005209186,-0.003969588,47.93936,-0.35008037,3.3443754,5.065732,-0.44843882,0.03859078,4.992406,0.1815422,-0.20718835,9.05135461018433,0.1251444645729869,-0.03780932302909287,0.015079327862428223,False
260,1752409063.894,5.0,0.9979272,-0.06422892,-0.0017526306,-0.0035908562,48.14198,-0.36717328,3.3454869,5.0650415,-0.4050046,0.01382981,4.9867067,0.31727043,-0.17915429,8.752052180494008,0.26831965149106424,-0.03972610255913139,0.013037964383789822,False
261,1752409063.974,5.0,0.9978751,-0.064986706,-0.0036546965,-0.0029454925,48.54706,-0.39579812,3.3435876,5.0614495,-0.3104527,-0.059498403,4.9437513,0.70994425,-0.23516312,9.388175193791566,-0.6514951141825248,-0.08575884312073498,0.008184405193114272,False
262,1752409064.014,5.0,0.9977119,-0.06737915,-0.0048789117,-0.0026922398,48.74946,-0.40726084,3.340648,5.058484,-0.26232997,-0.08691067,4.8859873,1.0001705,-0.35606995,9.259978518982466,-1.447657036450371,-0.18281134908699867,0.001978698838427643,False
